,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,,,,,,
,,Rethinking Action Spaces for Reinforcement Learning in End-to-end Dialog Agents with Latent Variable Models - T.Zhao,,,,,
,,Skeleton-to-Response: Dialogue Generation Guided by Retrieval Memory,,,,,
,,Unsupervised Dialog Structure Learning - T.Zhao,,,,,
,,Affect-Driven Dialog Generation,,,,,
,,Dialogue Act Classification with Context-Aware Self-Attention,,,,,
,,Evaluating Text GANs as Language Models,,,,,
,,Multi-level Memory for Task Oriented Dialogs - Reddy et al,,,,,
,,Latent Code and Text-based Generative Adversarial Networks for Soft-text Generation,,,,,
,,Neural Text Generation from Rich Semantic Representations,,,,,
,,Pragmatically Informative Text Generation,,,,,
,,Structural Neural Encoders for AMR-to-text Generation,,,,,
,,Text Generation from Knowledge Graphs,,,,,
,,Towards Content Transfer through Grounded Text Generation,,,,,
